Commentary	Ref	Literature(PubmedID)	value
x 	489	100550709	32500.0
x 	489	100550709	64960.0
xylanase A, gel filtration	495	0	13200.0
xylanase B, gel filtration	495	0	22000.0
xylanase C, gel filtration	495	0	150000.0
xylanase A, gel filtration	496	0	13200.0
xylanase B, gel filtration	496	0	22000.0
xylanase C, gel filtration	496	0	150000.0
xylanase A, gel filtration	497	0	13200.0
xylanase B, gel filtration	497	0	22000.0
xylanase C, gel filtration	497	0	150000.0
xylanase A, gel filtration	498	0	13200.0
xylanase B, gel filtration	498	0	22000.0
xylanase C, gel filtration	498	0	150000.0
xylanase A, gel filtration	499	0	13200.0
xylanase B, gel filtration	499	0	22000.0
xylanase C, gel filtration	499	0	150000.0
xylanase A, gel filtration	500	0	13200.0
xylanase B, gel filtration	500	0	22000.0
xylanase C, gel filtration	500	0	150000.0
xylanase A, gel filtration	501	0	13200.0
xylanase B, gel filtration	501	0	22000.0
xylanase C, gel filtration	501	0	150000.0
xylanase A, gel filtration	502	0	13200.0
xylanase B, gel filtration	502	0	22000.0
xylanase C, gel filtration	502	0	150000.0
SDS-PAGE	503	18379842	49000.0
x 	503	0	56000.0
SDS-PAGE	504	18379842	49000.0
x 	504	0	56000.0
SDS-PAGE	505	18379842	49000.0
x 	505	0	56000.0
SDS-PAGE	506	18379842	49000.0
x 	506	0	56000.0
SDS-PAGE	507	18379842	49000.0
x 	507	0	56000.0
SDS-PAGE	508	18379842	49000.0
x 	508	0	56000.0
x 	519	24908422	29000.0
x 	520	24908422	29000.0
x 	521	24908422	29000.0
x 	522	24908422	29000.0
mature enzyme, SDS-PAGE	524	18027102	39000.0
	524	18027102	39000.0
pre-mature enzyme, deduced from amino acid sequence	524	18027102	42930.0
mature enzyme, SDS-PAGE	525	18027102	39000.0
	525	18027102	39000.0
pre-mature enzyme, deduced from amino acid sequence	525	18027102	42930.0
1 	546	19356131	29300.0
1 	546	19356131	30000.0
fused xyn11A protein, Western blot analysis	546	19356131	43000.0
1 	547	19356131	29300.0
1 	547	19356131	30000.0
fused xyn11A protein, Western blot analysis	547	19356131	43000.0
1 	548	19356131	29300.0
1 	548	19356131	30000.0
fused xyn11A protein, Western blot analysis	548	19356131	43000.0
1 	549	19356131	29300.0
1 	549	19356131	30000.0
fused xyn11A protein, Western blot analysis	549	19356131	43000.0
1 	550	19356131	29300.0
