Commentary	Substrate	Ref	Literature(PubmedID)	value
pH 7.0, 25°C	Hexanal	1167	11742541	359.0
pH 7.0, 25°C	pentanal	1167	11742541	378.0
pH 10.0, 25°C	1-Pentanol	1167	11742541	918.0
pH 10.0, 25°C	Phenylethanol	1167	11742541	1132.0
pH 7.0, 25°C	cinnamyl alcohol	1167	11742541	1622.0
pH 10.0, 25°C	3-methyl-1-butanol	1167	11742541	2866.0
pH 10.0, 25°C	cinnamyl alcohol	1167	11742541	3404.0
pH 7.0, 25°C	veratraldehyde	1167	11742541	6000.0
pH 7.0, 25°C	cinnamaldehyde	1167	11742541	7913.0
pH 7.0, 25°C	3-Methylbutanal	1167	11742541	9581.0
pH 7.0, 25°C	pentanal	1167	11742541	11920.0
pH 7.0, 25°C	Hexanol	1168	11742541	10.7
pH 7.0, 25°C	cinnamyl alcohol	1168	11742541	14.8
pH 10.0, 25°C	cinnamyl alcohol	1168	11742541	70.0
pH 7.0, 25°C	3-methyl-1-butanol	1168	11742541	173.0
pH 7.0, 25°C	veratraldehyde	1168	11742541	263.0
pH 7.0, 25°C	3-Methylbutanal	1168	11742541	296.0
pH 7.0, 25°C	cinnamaldehyde	1168	11742541	307.0
pH 7.0, 25°C	Hexanal	1168	11742541	359.0
pH 7.0, 25°C	pentanal	1168	11742541	378.0
pH 10.0, 25°C	1-Pentanol	1168	11742541	918.0
pH 10.0, 25°C	Phenylethanol	1168	11742541	1132.0
pH 7.0, 25°C	cinnamyl alcohol	1168	11742541	1622.0
pH 10.0, 25°C	3-methyl-1-butanol	1168	11742541	2866.0
pH 10.0, 25°C	cinnamyl alcohol	1168	11742541	3404.0
pH 7.0, 25°C	veratraldehyde	1168	11742541	6000.0
pH 7.0, 25°C	cinnamaldehyde	1168	11742541	7913.0
pH 7.0, 25°C	3-Methylbutanal	1168	11742541	9581.0
pH 7.0, 25°C	pentanal	1168	11742541	11920.0
pH 7.0, 25°C	Hexanol	1169	11742541	10.7
pH 7.0, 25°C	cinnamyl alcohol	1169	11742541	14.8
pH 10.0, 25°C	cinnamyl alcohol	1169	11742541	70.0
pH 7.0, 25°C	3-methyl-1-butanol	1169	11742541	173.0
pH 7.0, 25°C	veratraldehyde	1169	11742541	263.0
pH 7.0, 25°C	3-Methylbutanal	1169	11742541	296.0
pH 7.0, 25°C	cinnamaldehyde	1169	11742541	307.0
pH 7.0, 25°C	Hexanal	1169	11742541	359.0
pH 7.0, 25°C	pentanal	1169	11742541	378.0
pH 10.0, 25°C	1-Pentanol	1169	11742541	918.0
pH 10.0, 25°C	Phenylethanol	1169	11742541	1132.0
pH 7.0, 25°C	cinnamyl alcohol	1169	11742541	1622.0
pH 10.0, 25°C	3-methyl-1-butanol	1169	11742541	2866.0
pH 10.0, 25°C	cinnamyl alcohol	1169	11742541	3404.0
pH 7.0, 25°C	veratraldehyde	1169	11742541	6000.0
pH 7.0, 25°C	cinnamaldehyde	1169	11742541	7913.0
pH 7.0, 25°C	3-Methylbutanal	1169	11742541	9581.0
pH 7.0, 25°C	pentanal	1169	11742541	11920.0
pH 7.0, 25°C	Hexanol	1170	11742541	10.7
pH 7.0, 25°C	cinnamyl alcohol	1170	11742541	14.8
pH 10.0, 25°C	cinnamyl alcohol	1170	11742541	70.0
pH 7.0, 25°C	3-methyl-1-butanol	1170	11742541	173.0
pH 7.0, 25°C	veratraldehyde	1170	11742541	263.0
pH 7.0, 25°C	3-Methylbutanal	1170	11742541	296.0
pH 7.0, 25°C	cinnamaldehyde	1170	11742541	307.0
pH 7.0, 25°C	Hexanal	1170	11742541	359.0
pH 7.0, 25°C	pentanal	1170	11742541	378.0
pH 10.0, 25°C	1-Pentanol	1170	11742541	918.0
pH 10.0, 25°C	Phenylethanol	1170	11742541	1132.0
pH 7.0, 25°C	cinnamyl alcohol	1170	11742541	1622.0
pH 10.0, 25°C	3-methyl-1-butanol	1170	11742541	2866.0
pH 10.0, 25°C	cinnamyl alcohol	1170	11742541	3404.0
pH 7.0, 25°C	veratraldehyde	1170	11742541	6000.0
pH 7.0, 25°C	cinnamaldehyde	1170	11742541	7913.0
pH 7.0, 25°C	3-Methylbutanal	1170	11742541	9581.0
pH 7.0, 25°C	pentanal	1170	11742541	11920.0
pH 7.0, 25°C	Hexanol	1171	11742541	10.7
pH 7.0, 25°C	cinnamyl alcohol	1171	11742541	14.8
pH 10.0, 25°C	cinnamyl alcohol	1171	11742541	70.0
pH 7.0, 25°C	3-methyl-1-butanol	1171	11742541	173.0
pH 7.0, 25°C	veratraldehyde	1171	11742541	263.0
pH 7.0, 25°C	3-Methylbutanal	1171	11742541	296.0
pH 7.0, 25°C	cinnamaldehyde	1171	11742541	307.0
pH 7.0, 25°C	Hexanal	1171	11742541	359.0
pH 7.0, 25°C	pentanal	1171	11742541	378.0
pH 10.0, 25°C	1-Pentanol	1171	11742541	918.0
pH 10.0, 25°C	Phenylethanol	1171	11742541	1132.0
pH 7.0, 25°C	cinnamyl alcohol	1171	11742541	1622.0
pH 10.0, 25°C	3-methyl-1-butanol	1171	11742541	2866.0
pH 10.0, 25°C	cinnamyl alcohol	1171	11742541	3404.0
pH 7.0, 25°C	veratraldehyde	1171	11742541	6000.0
pH 7.0, 25°C	cinnamaldehyde	1171	11742541	7913.0
pH 7.0, 25°C	3-Methylbutanal	1171	11742541	9581.0
pH 7.0, 25°C	pentanal	1171	11742541	11920.0
substrate furfural, pH 7.2, 30°C	NADPH	1201	23912116	2.21
substrate furfural, pH 7.2, 30°C	NADH	1201	23912116	2.7
substrate furfural, pH 7.2, 30°C	NADPH	1201	23912116	4.75
substrate furfural, pH 7.2, 30°C	NADH	1201	23912116	6.23
substrate 5-hydroxymethylfurfural, pH 7.2, 30°C	NADPH	1201	23912116	6.5
substrate furfural, pH 7.2, 30°C	NADPH	1202	23912116	2.21
substrate furfural, pH 7.2, 30°C	NADH	1202	23912116	2.7
substrate furfural, pH 7.2, 30°C	NADPH	1202	23912116	4.75
substrate furfural, pH 7.2, 30°C	NADH	1202	23912116	6.23
substrate 5-hydroxymethylfurfural, pH 7.2, 30°C	NADPH	1202	23912116	6.5
	3-Pyridinemethanol	1293	4402936	0.07
	glycerol	1293	4402936	0.612
	L-arabitol	1293	4402936	1.77
	(+)-Camphorquinone	1293	4402936	5.6
	D-glucuronate	1293	4402936	11.6
	D-Lactaldehyde	1293	4402936	13.7
	D-glyceraldehyde	1293	4402936	14.4
